source_marker,production_allowed,scraped_at_utc,source_provider,source_page,visual_model_key,make_key,make_name,model_key,model_name,body_type_key,body_name,body_style,model_bodywork,model_type,year_from,year_to,representative_vehicle_id,representative_image_url,reference_url,variant_count,power_kw_values,drive_values
SCRAPED_RONAL_BMF_RESEARCH_ONLY,false,2026-08-03T22:53:31.241Z,BMF Media Information Technology GmbH / ProVis4,https://www.ronal-wheels.com/int/configurator-promo,Audi|E-Tron|K0004484|2019|2022,Audi,Audi,E-Tron,E-Tron,K0004484,E-Tron (GE) 2019 - 2022,SUV,E-Tron,GE,2019,2022,P00044840102334,https://images002.bmf-application.com/optimized/PKW/240x120/AUD129.png,https://www.ronal-wheels.com/int/configurator-promo,2,158,All-wheel drive
SCRAPED_RONAL_BMF_RESEARCH_ONLY,false,2026-08-03T22:53:31.241Z,BMF Media Information Technology GmbH / ProVis4,https://www.ronal-wheels.com/int/configurator-promo,Audi|E-Tron|K0004711|2019|2022,Audi,Audi,E-Tron,E-Tron,K0004711,E-Tron (GE) 2019 - 2022,Sportback,E-Tron,GE,2019,2022,P00047110104763,https://images002.bmf-application.com/optimized/PKW/240x120/AUD160.png,https://www.ronal-wheels.com/int/configurator-promo,2,158,All-wheel drive
SCRAPED_RONAL_BMF_RESEARCH_ONLY,false,2026-08-03T22:53:31.241Z,BMF Media Information Technology GmbH / ProVis4,https://www.ronal-wheels.com/int/configurator-promo,Audi|E-Tron|K0004926|2021|,Audi,Audi,E-Tron,E-Tron,K0004926,E-Tron GT (FW) 2021 - ,Saloon,E-Tron GT,FW,2021,,P00049260107782,https://images002.bmf-application.com/optimized/PKW/240x120/AUD183.png,https://www.ronal-wheels.com/int/configurator-promo,1,140,All-wheel drive
SCRAPED_RONAL_BMF_RESEARCH_ONLY,false,2026-08-03T22:53:31.241Z,BMF Media Information Technology GmbH / ProVis4,https://www.ronal-wheels.com/int/configurator-promo,Audi|E-Tron|K0004844|2020|2022,Audi,Audi,E-Tron,E-Tron,K0004844,E-Tron S (GE) 2020 - 2022,SUV,E-Tron S,GE,2020,2022,P00048440105978,https://images002.bmf-application.com/optimized/PKW/240x120/AUD173.png,https://www.ronal-wheels.com/int/configurator-promo,1,226,All-wheel drive
SCRAPED_RONAL_BMF_RESEARCH_ONLY,false,2026-08-03T22:53:31.241Z,BMF Media Information Technology GmbH / ProVis4,https://www.ronal-wheels.com/int/configurator-promo,Audi|E-Tron|K0004845|2020|2022,Audi,Audi,E-Tron,E-Tron,K0004845,E-Tron S Sportback (GE) 2020 - 2022,Sportback,E-Tron S Sportback,GE,2020,2022,P00048450105977,https://images002.bmf-application.com/optimized/PKW/240x120/AUD174.png,https://www.ronal-wheels.com/int/configurator-promo,1,226,All-wheel drive
SCRAPED_RONAL_BMF_RESEARCH_ONLY,false,2026-08-03T22:53:31.241Z,BMF Media Information Technology GmbH / ProVis4,https://www.ronal-wheels.com/int/configurator-promo,Audi|Q4|K0004959|2021|,Audi,Audi,Q4,Q4,K0004959,Q4 e-tron (FZ) 2021 - ,SUV,Q4 e-tron,FZ,2021,,P00049590108145,https://images002.bmf-application.com/optimized/PKW/240x120/AUD184.png,https://www.ronal-wheels.com/int/configurator-promo,6,70|77|89,All-wheel drive|rear wheel drive
SCRAPED_RONAL_BMF_RESEARCH_ONLY,false,2026-08-03T22:53:31.241Z,BMF Media Information Technology GmbH / ProVis4,https://www.ronal-wheels.com/int/configurator-promo,Audi|Q4|K0004974|2021|,Audi,Audi,Q4,Q4,K0004974,Q4 Sportback e-tron (FZ) 2021 - ,SUV,Q4 Sportback e-tron,FZ,2021,,P00049740108247,https://images002.bmf-application.com/optimized/PKW/240x120/AUD185.png,https://www.ronal-wheels.com/int/configurator-promo,6,70|77|89,All-wheel drive|rear wheel drive
SCRAPED_RONAL_BMF_RESEARCH_ONLY,false,2026-08-03T22:53:31.241Z,BMF Media Information Technology GmbH / ProVis4,https://www.ronal-wheels.com/int/configurator-promo,Audi|Q8|K0005180|2022|2025,Audi,Audi,Q8,Q8,K0005180,Q8 e-tron (GE/Facelift) 2022 - 2025,SUV,Q8 e-tron,GE,2022,2025,P00051800110650,https://images002.bmf-application.com/optimized/PKW/240x120/AUD193.png,https://www.ronal-wheels.com/int/configurator-promo,3,158,All-wheel drive
SCRAPED_RONAL_BMF_RESEARCH_ONLY,false,2026-08-03T22:53:31.241Z,BMF Media Information Technology GmbH / ProVis4,https://www.ronal-wheels.com/int/configurator-promo,Audi|Q8|K0005181|2022|2025,Audi,Audi,Q8,Q8,K0005181,Q8 Sportback e-tron (GE/Facelift) 2022 - 2025,SUV,Q8 Sportback e-tron,GE,2022,2025,P00051810110652,https://images002.bmf-application.com/optimized/PKW/240x120/AUD194.png,https://www.ronal-wheels.com/int/configurator-promo,3,158,All-wheel drive
SCRAPED_RONAL_BMF_RESEARCH_ONLY,false,2026-08-03T22:53:31.241Z,BMF Media Information Technology GmbH / ProVis4,https://www.ronal-wheels.com/int/configurator-promo,Audi|Q8|K0005178|2022|2025,Audi,Audi,Q8,Q8,K0005178,SQ8 e-tron (GE/Facelift) 2022 - 2025,SUV,SQ8 e-tron,GE,2022,2025,P00051780110648,https://images002.bmf-application.com/optimized/PKW/240x120/AUD195.png,https://www.ronal-wheels.com/int/configurator-promo,1,226,All-wheel drive
